number,artist,title,trigram
2,The Rolling Stones,Satisfaction,get no i
2,The Rolling Stones,Satisfaction,no i can't
2,The Rolling Stones,Satisfaction,i can't get
2,The Rolling Stones,Satisfaction,can't get no
2,The Rolling Stones,Satisfaction,get no when
2,The Rolling Stones,Satisfaction,no when i'm
2,The Rolling Stones,Satisfaction,when i'm watchin
2,The Rolling Stones,Satisfaction,i'm watchin my
2,The Rolling Stones,Satisfaction,watchin my tv
2,The Rolling Stones,Satisfaction,my tv and
2,The Rolling Stones,Satisfaction,tv and a
2,The Rolling Stones,Satisfaction,and a man
2,The Rolling Stones,Satisfaction,a man comes
2,The Rolling Stones,Satisfaction,man comes on
2,The Rolling Stones,Satisfaction,comes on and
2,The Rolling Stones,Satisfaction,on and tells
2,The Rolling Stones,Satisfaction,and tells me
2,The Rolling Stones,Satisfaction,tells me how
2,The Rolling Stones,Satisfaction,me how white
2,The Rolling Stones,Satisfaction,how white my
2,The Rolling Stones,Satisfaction,white my shirts
2,The Rolling Stones,Satisfaction,my shirts can
2,The Rolling Stones,Satisfaction,shirts can be
2,The Rolling Stones,Satisfaction,can be well
2,The Rolling Stones,Satisfaction,be well he
2,The Rolling Stones,Satisfaction,well he can't
2,The Rolling Stones,Satisfaction,he can't be
2,The Rolling Stones,Satisfaction,can't be a
2,The Rolling Stones,Satisfaction,be a man
2,The Rolling Stones,Satisfaction,a man cause
2,The Rolling Stones,Satisfaction,man cause he
2,The Rolling Stones,Satisfaction,cause he doesn't
2,The Rolling Stones,Satisfaction,he doesn't smoke
2,The Rolling Stones,Satisfaction,doesn't smoke the
2,The Rolling Stones,Satisfaction,smoke the same
2,The Rolling Stones,Satisfaction,the same cigarettes
2,The Rolling Stones,Satisfaction,same cigarettes as
2,The Rolling Stones,Satisfaction,cigarettes as me
2,The Rolling Stones,Satisfaction,as me i
2,The Rolling Stones,Satisfaction,me i can't
2,The Rolling Stones,Satisfaction,i can't get
2,The Rolling Stones,Satisfaction,can't get no
2,The Rolling Stones,Satisfaction,get no oh
2,The Rolling Stones,Satisfaction,no oh no
2,The Rolling Stones,Satisfaction,oh no no
2,The Rolling Stones,Satisfaction,no no no
2,The Rolling Stones,Satisfaction,no no hey
