title,artist,year,genre,time_seconds,bpm,average_sentiment,genre_grouped
Maybe,The Chantels,1958,TBD,172,103.9,0.67,TBD
Maybe I'm Amazed,Wings,2001,TBD,231,160.9,0.89,TBD
Maybellene,Chuck Berry,1955,Rock 1950s,139,118.4,1.87,Rock
Me And Bobby McGee,Janis Joplin,1973,Rock 1970s,274,93.3,1.73,Rock
Midnight Train to Georgia,Gladys Knight and The Pips,1973,Dance 1970s,277,90.8,1.44,Dance
Miss You,The Rolling Stones,1978,TBD,288,110.3,-0.58,TBD
Money (That's What I Want),Barrett Strong,1978,Rock 1970s,147,141.1,1.27,Rock
Money Honey,Clyde McPhatter & The Drifters,1990,Easy,179,123.2,0.92,Easy
Monkey Gone to Heaven,Pixies,1989,TBD,175,116.5,0.86,TBD
Moondance,Van Morrison,1970,Rock 1970s,272,131.6,1.69,Rock
More Than a Feeling,Boston,1976,Rock 1970s,285,109,0.39,Rock
Mr. Tambourine Man,Bob Dylan,1967,TBD,328,177.5,-0.77,TBD
Mr. Tambourine Man,The Byrds,1965,Rock 1960s,138,122.3,-0.77,Rock
Mustang Sally,Wilson Pickett,1966,Rock 1960s,182,110,0.88,Rock
My Generation,The Who,1966,Rock 1960s,197,97.2,-0.56,Rock
My Girl,The Temptations,1965,Slow,162,105.1,0.6,Slow
My Sweet Lord,George Harrison,1970,Rock 1970s,278,121.5,1.47,Rock
Mystery Train,Elvis Presley,2000,TBD,147,121,-1,TBD
New Year's Day,U2,1983,Rock 1980s,335,133.2,0.8,Rock
No Woman No Cry,Bob Marley & The Wailers,1974,Reggae,427,157.7,-0.72,Reggae
Norwegian Wood (This Bird Has Flown),The Beatles,1966,Rock 1960s,125,88.7,0.6,Rock
Not Fade Away,Buddy Holly,1999,TBD,136,97.5,3,TBD
Nothing Compares 2 U,Sinead O'Connor,1990,Slow,308,120,-0.06,Slow
Nowhere to Run,Martha Reeves & The Vandellas,1965,Dance 1960s,175,129.2,0.27,Dance
Nuthin' but a 'G' Thang,Dr. Dre,1993,R&B 1990s,240,94.7,0.33,R&B
O-O-H Child,Five Stairsteps,2001,TBD,196,89,1.75,TBD
Ode to Billie Joe,Bobbie Gentry,1967,Country,253,120.1,0.55,Country
"Oh, Pretty Woman",Roy Orbison,1964,Rock 1960s,177,127.2,1.15,Rock
Ohio,"Crosby, Stills, Nash & Young",1970,TBD,186,156.8,-2.87,TBD
On the Road Again,Willie Nelson,1980,Country,153,110.5,2.71,Country
One,U2,1992,Slow,275,90.6,0.77,Slow
One Fine Day,The Chiffons,1963,Easy,129,89.4,1.7,Easy
One Nation Under a Groove,Funkadelic,1978,TBD,448,122.4,0.32,TBD
One Way or Another,Blondie,1979,Dance 1970s,215,162.1,1.67,Dance
Only the Lonely (Know How I Feel),Roy Orbison,1960,Slow,146,119.9,-1.05,Slow
Ooo Baby Baby,Smokey Robinson and The Miracles,1965,TBD,168,111.2,-0.75,TBD
Paint It Black,The Rolling Stones,1966,TBD,225,159.1,0.56,TBD
Papa Was a Rollin' Stone,The Temptations,1972,Rock 1970s,414,121.2,-1.47,Rock
Paradise City,Guns N' Roses,1989,Rock 1980s,406,101.2,1.27,Rock
Paranoid,Black Sabbath,1969,Rock 1960s,165,82.1,0.94,Rock
Paranoid Android,Radiohead,1997,Rock 1990s,383,163.6,0.42,Rock
Peggy Sue,Buddy Holly,1957,Rock 1950s,149,148.8,1.97,Rock
Penny Lane,The Beatles,1969,Rock 1960s,181,113.8,0.6,Rock
People Get Ready,The Impressions,2003,TBD,158,120.4,0.16,TBD
Personal Jesus,Depeche Mode,1990,Rock 1990s,348,130,0.93,Rock
Personality Crisis,New York Dolls,1973,TBD,223,155.6,-1.14,TBD
Piano Man,Billy Joel,1974,Slow,337,103.2,0.94,Slow
Pictures of You,The Cure,1989,Rock 1990s,286,86.3,-1.45,Rock
Piece of My Heart,Janis Joplin,1968,Rock 1960s,252,158.4,1.11,Rock
Pink Houses,John Mellencamp,1983,Rock 1980s,285,115.5,0.76,Rock
Planet Rock,Afrika Bambaataa & Soulsonic Force,1985,Rock 1980s,303,122.7,0.69,Rock
Please Please Me,The Beatles,1966,Rock 1960s,123,139.4,1.26,Rock
"Please, Please, Please",James Brown,1991,TBD,164,109.6,0.97,TBD
Positively 4th Street,Bob Dylan,2000,TBD,235,110,0.21,TBD
Pressure Drop,Toots & The Maytals,1972,TBD,224,147.6,-0.44,TBD
Pride (In the Name of Love),U2,1984,Rock 1980s,226,106.4,2.38,Rock
Proud Mary,Creedence Clearwater Revival,1968,Rock 1960s,187,120.4,0.69,Rock
Purple Haze,Jimi Hendrix,1968,Rock 1960s,170,110.2,0.84,Rock
Purple Rain,Prince,1984,Slow,392,113.7,0.33,Slow
Push It,Salt 'N' Pepa,1987,R&B 1980s,275,128.1,2,R&B
Radio Free Europe [Original Hib-Tone Single],R.E.M.,1988,Rock 1980s,229,83.1,0.9,Rock
Rain,The Beatles,1988,TBD,182,105.5,0,TBD
Rainy Night in Georgia,Brook Benton,1970,Slow,239,137.3,0,Slow
Ramble On,Led Zeppelin,1969,Rock 1960s,269,99.1,0.61,Rock
Rapper's Delight,Sugarhill Gang,1980,Dance 1980s,392,111.8,0.66,Dance
Rave On,Buddy Holly,1958,Rock 1950s,109,159.5,1.06,Rock
Reach Out (I'll Be There),Four Tops,1966,Rock 1960s,180,119.7,1.23,Rock
Redemption Song,Bob Marley & The Wailers,1980,Reggae,228,116,0,Reggae
Remember (Walking in the Sand),The Shangri-Las,1987,TBD,137,110.7,0.6,TBD
Respect,Aretha Franklin,1967,Rock 1960s,143,114.5,0.23,Rock
Respect Yourself,The Staple Singers,1990,TBD,214,109.9,0.78,TBD
Rhiannon,Fleetwood Mac,1975,Rock 1980s,251,129,2.14,Rock
Ring of Fire,Johnny Cash,1963,Country,158,103.4,-0.86,Country
River Deep - Mountain High,Tina Turner,1991,Rock 1980s,220,102.9,1.54,Rock
Roadrunner,The Modern Lovers,1976,TBD,246,152.1,1.09,TBD
Rock & Roll Music,Chuck Berry,1957,Rock 1950s,151,165.8,0.86,Rock
Rock Around the Clock,Bill Haley and His Comets,1955,Rock 1950s,130,89.9,1.11,Rock
Rock Lobster,The B-52's,1979,Rock 1970s,410,91.1,0,Rock
Rocket Man,Elton John,1974,Rock 1970s,282,137,-1.32,Rock
Rockin' in the Free World,Neil Young,2004,TBD,284,131.9,0.68,TBD
Roll Over Beethoven,Chuck Berry,1959,TBD,145,92.8,0.89,TBD
Rollin' Stone,Muddy Waters,1988,TBD,188,84.8,1.67,TBD
Roxanne,The Police,1979,Rock 1970s,191,134.9,0.2,Rock
Ruby Tuesday,The Rolling Stones,1967,TBD,196,104.9,-0.57,TBD
Runaround Sue,Dion,1961,Rock 1960s,159,157.6,1.05,Rock
Runaway,Del Shannon,1961,Rock 1960s,138,152.1,-0.6,Rock
Running on Empty,Jackson Browne,1996,Rock 1990s,287,136.5,0.18,Rock
Sabotage,Beastie Boys,1994,Rock 1990s,179,84,-0.75,Rock
Sail Away,Randy Newman,1972,TBD,170,89.2,1.4,TBD
Satisfaction,The Rolling Stones,1985,Rock 1980s,223,134.7,-0.97,Rock
Save the Last Dance for Me,The Drifters,1960,Slow,147,144.2,1.4,Slow
School's Out,Alice Cooper,1972,Rock 1970s,208,134.2,-1.15,Rock
Search And Destroy,The Stooges,1973,TBD,209,107.4,-0.74,TBD
September Gurls,Big Star,1978,TBD,169,113.9,-1.07,TBD
Sex Machine,James Brown,1970,Rock 1970s,315,108.4,1.52,Rock
Sexual Healing,Marvin Gaye,1982,Slow,239,93.9,1.69,Slow
Sh-Boom,The Chords,1985,TBD,147,137.5,1.68,TBD
"Shake, Rattle And Roll",Big Joe Turner,1954,TBD,180,153,0.78,TBD
She Loves You,The Beatles,1966,Rock 1960s,142,149.8,0.98,Rock
She's Not There,The Zombies,1964,TBD,145,131.4,0.04,TBD
Sheena Is a Punk Rocker,Ramones,1977,TBD,168,88.1,1,TBD
Shop Around,Smokey Robinson and The Miracles,1983,Rock 1970s,164,135.5,1.45,Rock
Should I Stay or Should I Go?,The Clash,1982,Rock 1980s,187,113.3,0.33,Rock
Shout,The Isley Brothers,1960,Rock 1960s,276,138.9,1.87,Rock
Sign 'O' the Times,Prince,1993,Rock 1980s,222,98.9,-0.17,Rock
Sloop John B,The Beach Boys,1966,Slow,174,124.9,-0.69,Slow
Smells Like Teen Spirit,Nirvana,1991,Rock 1990s,301,117.5,-0.33,Rock
Smoke on the Water,Deep Purple,1973,Rock 1970s,339,114,-0.64,Rock
Smokestack Lightnin,Howlin' Wolf,2003,TBD,188,145.2,0.25,TBD
Somebody to Love,Jefferson Airplane,1967,Rock 1960s,175,131.2,2.08,Rock
Something,The Beatles,1969,Rock 1960s,182,132.4,0.5,Rock
Son of a Preacher Man,Dusty Springfield,1969,Rock 1960s,147,90.9,1.11,Rock
Soul Man,Sam & Dave,1967,Dance 1960s,157,112.6,1.27,Dance
Spanish Harlem,Ben E. King,1961,Slow,168,125.4,0.75,Slow
Spirit in the Sky,Norman Greenbaum,1969,TBD,241,128.4,-0.29,TBD
Spoonful,Howlin' Wolf,2003,TBD,165,119.9,-0.57,TBD
Stagger Lee,Lloyd Price,1959,Rock 1950s,141,135.6,-0.67,Rock
Stairway to Heaven,Led Zeppelin,1971,Slow,479,99.7,0.77,Slow
Stan,Eminem,2005,TBD,331,160,-0.65,TBD
Stand,Sly & The Family Stone,2002,TBD,188,108.3,-0.33,TBD
Stand by Me,Ben E. King,1961,Slow,174,108.9,-1.43,Slow
Standing in the Shadows of Love,Four Tops,1992,TBD,159,114,0.79,TBD
Stayin' Alive,Bee Gees,1977,Disco,283,103.6,1.21,Disco
Strawberry Fields Forever,The Beatles,1969,Rock 1960s,248,99.2,-0.64,Rock
Street Fighting Man,The Rolling Stones,1968,TBD,196,128.2,-1.33,TBD
Subterranean Homesick Blues,Bob Dylan,1965,Rock 1960s,136,86.8,-0.22,Rock
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",1971,TBD,449,143,-0.21,TBD
Summer Babe [Winter Version],Pavement,1992,TBD,196,98.4,0,TBD
Summer in the City,The Lovin' Spoonful,1966,Rock 1960s,157,113,-0.44,Rock
Summertime Blues,Eddie Cochran,1970,Rock 1970s,119,157.2,-0.1,Rock
Sunday Bloody Sunday [Live],U2,1983,Rock 1980s,317,109.4,-1.73,Rock
Sunshine of Your Love,Cream,1968,Rock 1960s,251,115,1.93,Rock
Super Freak,Rick James,1981,Dance 1980s,205,132.8,2.06,Dance
Superstition,Stevie Wonder,1972,Disco,265,101.3,-0.28,Disco
Surrender,Cheap Trick,1978,Rock 1980s,252,134.7,-0.56,Rock
Suspicious Minds,Elvis Presley,1969,Rock 1960s,200,114.8,0.03,Rock
Sweet Child O' Mine,Guns N' Roses,1988,Rock 1980s,355,125,1.33,Rock
Sweet Dreams,Eurythmics,1983,Rock 1980s,293,126,0.74,Rock
Sweet Emotion,Aerosmith,1991,Rock 1990s,275,99.7,0.4,Rock
