number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
374,Chuck Berry,Brown-Eyed Handsome Man,2M 18S,90.5,1957,TBD,DTRANDOM_001-03,DTRANDOM_001,400s,1950s
375,Pink Floyd,Another Brick in the Wall (Part II),3M 50S,104.1,1980,Rock 1980s,POWERTRK_010-06,POWERTRK_010,400s,1980s
376,Radiohead,Fake Plastic Trees,4M 50S,147.2,1995,Rock 1990s,BIGSHN90_01A-08,BIGSHN90_01A,400s,1990s
377,Ray Charles,Hit the Road Jack,1M 59S,86.4,1961,Rock 1960s,POWERTRK_088-17,POWERTRK_088,400s,1960s
378,U2,Pride (In the Name of Love),3M 46S,106.4,1984,Rock 1980s,POWERTRK_053-05,POWERTRK_053,400s,1980s
379,R.E.M.,Radio Free Europe [Original Hib-Tone Single],3M 49S,83.1,1988,Rock 1980s,REM______GH1-01,REM______GH1,400s,1980s
380,Elton John,Goodbye Yellow Brick Road,3M 12S,120.3,1973,Slow,POWERTRK_147-18,POWERTRK_147,400s,1970s
381,Aaron Neville,Tell It Like It Is,2M 38S,95.4,1993,TBD,HOTSTUFF_019-02,HOTSTUFF_019,400s,1990s
382,The Verve,Bitter Sweet Symphony,5M 57S,85.5,1997,TBD,HOTSTUFF_003-15,HOTSTUFF_003,400s,1990s
383,The Allman Brothers Band,Whipping Post,5M 22S,97.3,1969,TBD,DTRANDOM_001-13,DTRANDOM_001,400s,1960s
384,The Beatles,Ticket to Ride,3M 10S,123.9,1966,Rock 1960s,BEATLES__RDA-12,BEATLES__RDA,400s,1960s
385,"Crosby, Stills, Nash & Young",Ohio,3M 6S,156.8,1970,TBD,DTRANDOM_008-16,DTRANDOM_008,400s,1970s
386,Eric B. & Rakim,I Know You Got Soul,4M 44S,104.1,1987,TBD,DTRANDOM_005-11,DTRANDOM_005,400s,1980s
387,Elton John,Tiny Dancer,6M 16S,145.4,1992,Rock 1980s,ELTONJON_GH2-03,ELTONJON_GH2,400s,1990s
388,The Police,Roxanne,3M 11S,134.9,1979,Rock 1970s,POWERTRK_009-02,POWERTRK_009,400s,1970s
389,The Temptations,Just My Imagination (Running Away With Me),3M 50S,92.4,1965,Rock 1960s,TEMPTTNS_G1B-10,TEMPTTNS_G1B,400s,1960s
390,Four Tops,Baby I Need Your Lovin',2M 44S,121.4,2005,TBD,HOTSTUFF_018-13,HOTSTUFF_018,400s,2000s
